所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,23分,乗換1回,北千束,139.693303,35.606311,東急,大井町線,賃貸マンション,1K,12.61
21-30分,25分,乗換1回,大岡山,139.685909,35.607456,東急,大井町線,賃貸マンション,1K,11.12
21-30分,27分,乗換1回,緑が丘,139.679482,35.60638,東急,大井町線,賃貸マンション,1K,11.23
21-30分,28分,乗換1回,自由が丘,139.668664,35.607224,東急,大井町線,賃貸マンション,1K,12.23
21-30分,30分,乗換1回,九品仏,139.660992,35.60538,東急,大井町線,賃貸マンション,1K,11.92
21-30分,24分,乗換1回,大井競馬場前,139.74708,35.595006,不明,東京モノレール,賃貸マンション,1K,9.98
21-30分,29分,乗換1回,昭和島,139.749918,35.570656,不明,東京モノレール,賃貸マンション,1K,9.7
21-30分,24分,乗換1回,竹橋,139.756817,35.690662,東京メトロ,東西線,賃貸マンション,1K,16.13
21-30分,25分,乗換1回,茅場町,139.780005,35.679752,東京メトロ,東西線,賃貸マンション,1K,13.5
21-30分,26分,乗換1回,九段下,139.751948,35.695589,東京メトロ,東西線,賃貸マンション,1K,13.94
21-30分,29分,乗換1回,木場,139.807042,35.669351,東京メトロ,東西線,賃貸マンション,1K,12.4
21-30分,30分,乗換1回,神楽坂,139.734546,35.70379,東京メトロ,東西線,賃貸マンション,1K,13.86
21-30分,25分,乗換1回,馬喰町,139.78238,35.693365,ＪＲ,総武本線（東京-銚子）,賃貸マンション,1K,13.11
21-30分,28分,乗換1回,亀戸,139.826262,35.697345,ＪＲ,総武本線（東京-銚子）,賃貸マンション,1K,11.42
21-30分,30分,乗換1回,平井,139.842181,35.70643,ＪＲ,総武本線（東京-銚子）,賃貸マンション,1K,9.86
21-30分,25分,乗換1回,矢口渡,139.700389,35.562462,東急,多摩川線,賃貸マンション,1K,9.87
21-30分,26分,乗換1回,武蔵新田,139.692506,35.567806,東急,多摩川線,賃貸マンション,1K,9.59
21-30分,28分,乗換1回,下丸子,139.685576,35.571397,東急,多摩川線,賃貸マンション,1K,8.69
21-30分,29分,乗換1回,鵜の木,139.680554,35.575452,東急,多摩川線,賃貸マンション,1K,9.89
21-30分,26分,乗換1回,池尻大橋,139.684319,35.650603,東急,田園都市線,賃貸マンション,1K,14.52
21-30分,28分,乗換1回,三軒茶屋,139.670156,35.643716,東急,田園都市線,賃貸マンション,1K,13.7
21-30分,30分,乗換1回,駒沢大学,139.661702,35.633471,東急,田園都市線,賃貸マンション,1K,13.48
21-30分,26分,乗換2回,六本木一丁目,139.739,35.665595,東京メトロ,南北線,賃貸マンション,1K,22.74
21-30分,27分,乗換1回,神泉,139.693579,35.657244,京王,井の頭線,賃貸マンション,1K,14.75
21-30分,30分,乗換1回,池ノ上,139.67344,35.660402,京王,井の頭線,賃貸マンション,1K,11.71
21-30分,27分,乗換1回,赤坂,139.738348,35.67323,東京メトロ,千代田線,賃貸マンション,1K,17.46
21-30分,27分,乗換1回,代々木公園,139.689099,35.669187,東京メトロ,千代田線,賃貸マンション,1K,16.49
21-30分,28分,乗換1回,代々木上原,139.680153,35.669159,東京メトロ,千代田線,賃貸マンション,1K,15.0
21-30分,28分,乗換1回,湯島,139.769916,35.708243,東京メトロ,千代田線,賃貸マンション,1K,13.59
21-30分,29分,乗換1回,乃木坂,139.726215,35.666572,東京メトロ,千代田線,賃貸マンション,1K,15.28
21-30分,30分,乗換1回,根津,139.765655,35.7174,東京メトロ,千代田線,賃貸マンション,1K,11.48
21-30分,28分,乗換1回,尻手,139.684233,35.530939,ＪＲ,南武線（川崎-立川）,賃貸マンション,1K,9.49
21-30分,30分,乗換1回,矢向,139.68055,35.539408,ＪＲ,南武線（川崎-立川）,賃貸マンション,1K,9.26
21-30分,28分,乗換2回,半蔵門,139.74163,35.685703,東京メトロ,半蔵門線,賃貸マンション,1K,14.74
21-30分,28分,乗換1回,糀谷,139.72962,35.5545,京急,空港線,賃貸マンション,1K,10.29
21-30分,30分,乗換1回,大鳥居,139.739356,35.552531,京急,空港線,賃貸マンション,1K,10.88
21-30分,29分,乗換1回,浜町,139.788154,35.688516,都営,新宿線,賃貸マンション,1K,13.82
21-30分,30分,乗換1回,港町,139.712578,35.535014,京急,大師線,賃貸マンション,1K,9.44
21-30分,30分,乗換1回,代官山,139.703284,35.648193,東急,東横線,賃貸マンション,1K,13.91
21-30分,30分,乗換2回,祐天寺,139.690758,35.637163,東急,東横線,賃貸マンション,1K,14.53
31-40分,31分,乗換0回,横浜,139.622704,35.466195,ＪＲ,京浜東北線,賃貸マンション,1K,10.51
31-40分,31分,乗換0回,東十条,139.726858,35.763803,ＪＲ,京浜東北線,賃貸マンション,1K,10.01
31-40分,34分,乗換0回,赤羽,139.720928,35.778026,ＪＲ,京浜東北線,賃貸マンション,1K,11.4
31-40分,38分,乗換0回,川口,139.717472,35.801869,ＪＲ,京浜東北線,賃貸マンション,1K,9.06
31-40分,31分,乗換1回,下北沢,139.66691,35.661539,京王,井の頭線,賃貸マンション,1K,13.45
31-40分,33分,乗換1回,新代田,139.660524,35.662593,京王,井の頭線,賃貸マンション,1K,13.33
31-40分,34分,乗換1回,東松原,139.655535,35.662634,京王,井の頭線,賃貸マンション,1K,11.01
31-40分,35分,乗換1回,明大前,139.650352,35.668758,京王,井の頭線,賃貸マンション,1K,10.95
31-40分,38分,乗換1回,永福町,139.642733,35.67629,京王,井の頭線,賃貸マンション,1K,9.77
31-40分,31分,乗換2回,学芸大学,139.68522,35.628786,東急,東横線,賃貸マンション,1K,13.63
31-40分,33分,乗換2回,都立大学,139.676393,35.617835,東急,東横線,賃貸マンション,1K,13.28
31-40分,31分,乗換1回,穴守稲荷,139.746669,35.550326,京急,空港線,賃貸マンション,1K,10.55
