所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
41-50分,49分,乗換1回,上板橋,139.67641,35.763596,東武,東上線,賃貸アパート,1LDK,12.08
41-50分,50分,乗換1回,成増,139.632708,35.777723,東武,東上線,賃貸アパート,1LDK,11.84
41-50分,43分,乗換1回,西新井,139.790372,35.777323,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1LDK,13.1
41-50分,43分,乗換2回,東向島,139.819306,35.724324,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1LDK,14.02
41-50分,46分,乗換1回,竹ノ塚,139.790788,35.794368,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1LDK,11.24
41-50分,49分,乗換1回,谷塚,139.801483,35.814926,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1LDK,7.4
41-50分,46分,乗換1回,津田山,139.600002,35.604259,ＪＲ,南武線（川崎-立川）,賃貸アパート,1LDK,13.1
41-50分,48分,乗換1回,久地,139.592714,35.610363,ＪＲ,南武線（川崎-立川）,賃貸アパート,1LDK,12.61
41-50分,50分,乗換1回,宿河原,139.579565,35.615429,ＪＲ,南武線（川崎-立川）,賃貸アパート,1LDK,12.95
41-50分,43分,乗換1回,浦和,139.657109,35.858496,ＪＲ,宇都宮線〔東北本線〕・ＪＲ上野東京ライン,賃貸アパート,1LDK,13.8
41-50分,49分,乗換1回,大宮,139.62405,35.906439,ＪＲ,宇都宮線〔東北本線〕・ＪＲ上野東京ライン,賃貸アパート,1LDK,13.4
41-50分,43分,乗換1回,亀有,139.847573,35.766527,ＪＲ,常磐線,賃貸アパート,1LDK,15.8
41-50分,46分,乗換1回,金町,139.870482,35.769582,ＪＲ,常磐線,賃貸アパート,1LDK,10.65
41-50分,48分,乗換1回,松戸,139.900779,35.784472,ＪＲ,常磐線,賃貸アパート,1LDK,13.33
41-50分,43分,乗換1回,菊名,139.630147,35.509749,ＪＲ,横浜線,賃貸アパート,1LDK,12.5
41-50分,47分,乗換1回,小机,139.599787,35.508533,ＪＲ,横浜線,賃貸アパート,1LDK,12.99
41-50分,49分,乗換1回,大船,139.531127,35.353466,ＪＲ,東海道本線（東京-熱海）,賃貸アパート,1LDK,12.5
41-50分,43分,乗換1回,沼袋,139.663841,35.719458,西武,新宿線,賃貸アパート,1LDK,13.72
41-50分,45分,乗換1回,鷺ノ宮,139.63892,35.722605,西武,新宿線,賃貸アパート,1LDK,11.4
41-50分,45分,乗換1回,野方,139.652733,35.719658,西武,新宿線,賃貸アパート,1LDK,14.89
41-50分,46分,乗換1回,都立家政,139.644839,35.722313,西武,新宿線,賃貸アパート,1LDK,12.93
41-50分,49分,乗換1回,上石神井,139.592266,35.726189,西武,新宿線,賃貸アパート,1LDK,13.5
41-50分,50分,乗換1回,下井草,139.624688,35.723852,西武,新宿線,賃貸アパート,1LDK,14.0
41-50分,43分,乗換1回,椎名町,139.694363,35.726572,西武,池袋線,賃貸アパート,1LDK,12.47
41-50分,45分,乗換1回,東長崎,139.683294,35.73003,西武,池袋線,賃貸アパート,1LDK,15.78
41-50分,49分,乗換1回,江古田,139.672814,35.737557,西武,池袋線,賃貸アパート,1LDK,11.68
41-50分,45分,乗換1回,西横浜,139.608745,35.453437,相鉄,本線,賃貸アパート,1LDK,9.8
41-50分,46分,乗換1回,天王町,139.602554,35.453984,相鉄,本線,賃貸アパート,1LDK,13.12
41-50分,50分,乗換1回,星川,139.594816,35.458634,相鉄,本線,賃貸アパート,1LDK,9.9
41-50分,44分,乗換1回,小竹向原,139.678572,35.743803,東京メトロ,副都心線,賃貸アパート,1LDK,14.1
