所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
31-40分,34分,乗換1回,西巣鴨,139.728712,35.743508,都営,三田線,賃貸アパート,1K,7.1
31-40分,38分,乗換1回,板橋区役所前,139.710102,35.751284,都営,三田線,賃貸アパート,1K,8.08
31-40分,40分,乗換1回,板橋本町,139.705535,35.761339,都営,三田線,賃貸アパート,1K,7.82
31-40分,36分,乗換1回,牛込柳町,139.725027,35.699518,都営,大江戸線（環状部）,賃貸アパート,1K,12.0
31-40分,35分,乗換1回,浅草,139.798214,35.711883,つくばエクスプレス,,賃貸アパート,1K,9.0
31-40分,39分,乗換1回,新井薬師前,139.672582,35.715778,西武,新宿線,賃貸アパート,1K,9.3
31-40分,36分,乗換1回,初台,139.686354,35.68123,京王,新線,賃貸アパート,1K,9.2
31-40分,36分,乗換1回,西新宿五丁目,139.684304,35.689798,都営,大江戸線（放射部）,賃貸アパート,1K,9.8
31-40分,37分,乗換1回,王子神谷,139.735933,35.765172,東京メトロ,南北線,賃貸アパート,1K,9.63
31-40分,39分,乗換1回,志茂,139.732599,35.777948,東京メトロ,南北線,賃貸アパート,1K,7.29
31-40分,36分,乗換1回,赤土小学校前,139.768989,35.742454,都営,日暮里・舎人ライナー,賃貸アパート,1K,7.0
31-40分,37分,乗換1回,熊野前,139.769204,35.749212,都営,日暮里・舎人ライナー,賃貸アパート,1K,7.35
31-40分,39分,乗換1回,五反野,139.809643,35.765852,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1K,7.12
31-40分,37分,乗換1回,笹塚,139.667251,35.673758,京王,線,賃貸アパート,1K,9.94
31-40分,37分,乗換2回,西太子堂,139.666382,35.644545,東急,世田谷線,賃貸アパート,1K,9.6
31-40分,39分,乗換2回,東あずま,139.831883,35.707067,東武,亀戸線,賃貸アパート,1K,8.25
31-40分,39分,乗換1回,北池袋,139.716749,35.741283,東武,東上線,賃貸アパート,1K,7.9
