所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,26分,乗換1回,四ツ谷,139.730644,35.686041,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1LDK,24.14
21-30分,26分,乗換1回,飯田橋,139.745143,35.701835,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1LDK,30.01
21-30分,30分,乗換1回,信濃町,139.720729,35.680031,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1LDK,21.67
21-30分,30分,乗換1回,大久保,139.69732,35.700784,ＪＲ,中央本線（東京-塩尻）,賃貸マンション,1LDK,21.67
21-30分,21分,乗換1回,西大井,139.721729,35.601616,ＪＲ,横須賀線,賃貸マンション,1LDK,18.57
21-30分,26分,乗換1回,武蔵小杉,139.65963,35.57669,ＪＲ,横須賀線,賃貸マンション,1LDK,19.42
21-30分,29分,乗換1回,新川崎,139.671481,35.551784,ＪＲ,横須賀線,賃貸マンション,1LDK,17.61
21-30分,21分,乗換0回,西馬込,139.705942,35.586859,都営,浅草線,賃貸マンション,1LDK,17.54
21-30分,22分,乗換0回,人形町,139.782285,35.686307,都営,浅草線,賃貸マンション,1LDK,23.44
21-30分,24分,乗換0回,東日本橋,139.784821,35.692126,都営,浅草線,賃貸マンション,1LDK,23.03
21-30分,27分,乗換0回,蔵前,139.790931,35.703236,都営,浅草線,賃貸マンション,1LDK,20.87
21-30分,30分,乗換0回,本所吾妻橋,139.804624,35.70858,都営,浅草線,賃貸マンション,1LDK,18.8
21-30分,21分,乗換0回,代々木,139.702042,35.683061,ＪＲ,山手線,賃貸マンション,1LDK,20.84
21-30分,22分,乗換0回,鶯谷,139.778015,35.721484,ＪＲ,山手線,賃貸マンション,1LDK,19.35
21-30分,23分,乗換0回,新宿,139.700464,35.689729,ＪＲ,山手線,賃貸マンション,1LDK,30.96
21-30分,24分,乗換0回,日暮里,139.771287,35.727908,ＪＲ,山手線,賃貸マンション,1LDK,17.04
21-30分,25分,乗換0回,新大久保,139.700261,35.700875,ＪＲ,山手線,賃貸マンション,1LDK,17.24
21-30分,25分,乗換0回,西日暮里,139.766857,35.731954,ＪＲ,山手線,賃貸マンション,1LDK,17.42
21-30分,27分,乗換0回,高田馬場,139.703715,35.712677,ＪＲ,山手線,賃貸マンション,1LDK,21.24
21-30分,29分,乗換0回,駒込,139.748053,35.736825,ＪＲ,山手線,賃貸マンション,1LDK,19.03
21-30分,29分,乗換0回,目白,139.706228,35.720476,ＪＲ,山手線,賃貸マンション,1LDK,19.18
21-30分,21分,乗換1回,立会川,139.738886,35.598489,京急,本線,賃貸マンション,1LDK,17.66
